stage,learning_rate,n_estimators,max_depth,subsample,reg_alpha_l1,reg_lambda_l2,best_mean_neg_mse
initial_shared,0.061291398608890935,463,4,0.692234451211721,0.0,1.0,-0.381572
mandatory_start_final,0.08290889433872214,85,7,0.7997909473611668,1.2281691079272938,160.79648396006553,-0.439871
zero_start_final,0.0870641074385947,432,6,0.7567084187395459,14.737827988298926,0.4250595378366587,-0.344589
