experiment,mean_mse,mean_neg_mse,std_mse,mean_wape,mean_wpe,std_wape,mean_mae,mean_rmse
zero_start,0.339229,-0.339229,0.025573,0.329116,-0.005342,0.006585,0.346531,0.58202
mandatory_start,0.3825,-0.3825,0.023768,0.345772,0.016552,0.008674,0.362668,0.618166
